genre,id,name,sinopsis,tags
Adventure,4423,A Short Hike,"A Short Hike is an adventure game for the Nintendo Switch. It is ranked #16 on the all-time Top Rated Switch games,  with a total of 16 reviews  and an average score of 9.34.","['Adventure', 'Exploration', 'Open world', 'Collect-a-thon', 'Coming of age story', 'Family story', 'Cats / dogs', 'Feel Good', 'Pixel art', 'Top-Down', 'Real-time', 'Casual', 'No fail state', 'Relaxing', 'Family friendly', 'Speedrunner-friendly']"
Adventure,3449,Kentucky Route Zero: TV Edition,"Kentucky Route Zero: TV Edition is an adventure game for the Nintendo Switch. It is ranked #49 on the all-time Top Rated Switch games,  with a total of 5 reviews  and an average score of 9.10.","['Adventure', 'Story choices', 'Emotional', 'Melancholy']"
Adventure,8981,The Oregon Trail,"The Oregon Trail is an adventure game for the Nintendo Switch. It is ranked #54 on the all-time Top Rated Switch games,  with a total of 3 reviews  and an average score of 9.07.","['Adventure', 'Survival', 'Story choices', 'Western', 'Die & retry', ""80's retrogaming""]"
Adventure,7399,13 Sentinels: Aegis Rim,"13 Sentinels: Aegis Rim is an adventure game for the Nintendo Switch. It is ranked #97 on the all-time Top Rated Switch games,  with a total of 12 reviews  and an average score of 8.92.","['Adventure', 'RPG', 'Strategy', 'Visual novel', 'Story choices', 'Tactical', 'Asia', 'Science Fiction', 'Mecha / robots', 'Anime', 'Side Scroller', 'Real-time']"
Adventure,2829,AI: The Somnium Files,"AI: The Somnium Files is an adventure game for the Nintendo Switch. It is ranked #116 on the all-time Top Rated Switch games,  with a total of 9 reviews  and an average score of 8.86.","['Adventure', 'Point-and-click', 'Visual novel', 'Investigation', 'Story choices', 'Text-heavy', 'Science Fiction', 'Emotional', 'Anime']"
Adventure,4422,Spiritfarer,"Spiritfarer is an adventure game for the Nintendo Switch. It is ranked #120 on the all-time Top Rated Switch games,  with a total of 13 reviews  and an average score of 8.85.","['Adventure', 'Farming', 'Management', 'Platformer', 'Simulation', 'Exploration', 'Fantastic', 'Emotional', 'Drawing / painting', 'Side Scroller', 'Casual']"
Adventure,5432,Tales from the Borderlands,"Tales from the Borderlands is an adventure game for the Nintendo Switch. It is ranked #143 on the all-time Top Rated Switch games,  with a total of 4 reviews  and an average score of 8.75. It is part of the Borderlands series.","['Adventure', 'Text-based adventure', 'Story choices', 'Post-apocalyptic', 'Science Fiction', 'Mature / adults']"
Adventure,7255,Welcome to Elk,"Welcome to Elk is an adventure game for the Nintendo Switch. It is ranked #161 on the all-time Top Rated Switch games,  with a total of 5 reviews  and an average score of 8.70.","['Adventure', 'Interactive story', 'Exploration', 'Story choices', 'Drawing / painting']"
Adventure,77,Flipping Death,"Flipping Death is an adventure game for the Nintendo Switch. It is ranked #165 on the all-time Top Rated Switch games,  with a total of 10 reviews  and an average score of 8.69.","['Adventure', 'Puzzle platformer', 'Fantastic', 'Cartoon / comics', 'Side Scroller']"
Adventure,6264,Road 96,"Road 96 is an adventure game for the Nintendo Switch. It is ranked #171 on the all-time Top Rated Switch games,  with a total of 9 reviews  and an average score of 8.68.","['Adventure', 'Interactive story', 'Roguelike', 'Story choices', 'Political', 'Cartoon / comics', 'First-Person']"
Adventure,544,Night in the Woods,"Night in the Woods is an adventure game for the Nintendo Switch. It is ranked #174 on the all-time Top Rated Switch games,  with a total of 9 reviews  and an average score of 8.67.","['Adventure', 'Interactive story', 'Text-heavy', 'Coming of age story', 'Cats / dogs', 'Drawing / painting', 'Side Scroller']"
Adventure,9847,Oxenfree II: Lost Signals,"Oxenfree II: Lost Signals is an adventure game for the Nintendo Switch. It is ranked #174 on the all-time Top Rated Switch games,  with a total of 6 reviews  and an average score of 8.67.","['Adventure', 'Horror', 'Interactive story', 'Fantastic', 'Scary', 'Side Scroller']"
Adventure,5989,Overboard!,"Overboard! is an adventure game for the Nintendo Switch. It is ranked #243 on the all-time Top Rated Switch games,  with a total of 13 reviews  and an average score of 8.58.","['Adventure', 'Text-based adventure', 'Investigation', 'Story choices', 'Text-heavy', 'Early XXth Century', 'Funny', 'Cartoon / comics', 'Drawing / painting', 'Casual', 'Die & retry']"
Adventure,12510,Pine Hearts,"Pine Hearts is an adventure game for the Nintendo Switch. It is ranked #243 on the all-time Top Rated Switch games,  with a total of 5 reviews  and an average score of 8.58.",['No tags']
Adventure,7867,AI: The Somnium Files - nirvanA Initiative,"AI: The Somnium Files - nirvanA Initiative is an adventure game for the Nintendo Switch. It is ranked #250 on the all-time Top Rated Switch games,  with a total of 6 reviews  and an average score of 8.57.","['Adventure', 'Point-and-click', 'Investigation', 'Fantastic', 'Anime', 'Third Person']"
Adventure,4703,Horace,"Horace is an adventure game for the Nintendo Switch. It is ranked #256 on the all-time Top Rated Switch games,  with a total of 9 reviews  and an average score of 8.56.","['Adventure', 'Platformer', 'Point-and-click', 'Weird', 'Pixel art', 'Side Scroller']"
Adventure,12432,Lorelei and the Laser Eyes,"Lorelei and the Laser Eyes is an adventure game for the Nintendo Switch. It is ranked #256 on the all-time Top Rated Switch games,  with a total of 8 reviews  and an average score of 8.56.",['No tags']
Adventure,2900,80 days,"80 days is an adventure game for the Nintendo Switch. It is ranked #291 on the all-time Top Rated Switch games,  with a total of 10 reviews  and an average score of 8.50.","['Adventure', 'Interactive story', 'Story choices', 'Text-heavy', 'Early XXth Century', 'Travel story', 'Cartoon / comics', 'Drawing / painting', 'Speedrunner-friendly']"
Adventure,6919,The Kids We Were,"The Kids We Were is an adventure game for the Nintendo Switch. It is ranked #291 on the all-time Top Rated Switch games,  with a total of 3 reviews  and an average score of 8.50.","['Adventure', 'Interactive story', 'Coming of age story', 'Voxel', 'Third Person']"
Adventure,12931,Thank Goodness You're Here!,"Thank Goodness You're Here! is an adventure game for the Nintendo Switch. It is ranked #336 on the all-time Top Rated Switch games,  with a total of 7 reviews  and an average score of 8.47.",['No tags']
Adventure,9234,A Space for the Unbound,"A Space for the Unbound is an adventure game for the Nintendo Switch. It is ranked #342 on the all-time Top Rated Switch games,  with a total of 8 reviews  and an average score of 8.46.","['Action adventure', 'Adventure', 'Emotional', 'Pixel art', 'Side Scroller']"
Adventure,7842,Card Shark,"Card Shark is an adventure game for the Nintendo Switch. It is ranked #342 on the all-time Top Rated Switch games,  with a total of 12 reviews  and an average score of 8.46.","['Adventure', 'Cards', 'Drawing / painting']"
Adventure,10555,The Cosmic Wheel Sisterhood,"The Cosmic Wheel Sisterhood is an adventure game for the Nintendo Switch. It is ranked #342 on the all-time Top Rated Switch games,  with a total of 5 reviews  and an average score of 8.46.",['No tags']
Adventure,11880,Snufkin: Melody of Moominvalley,"Snufkin: Melody of Moominvalley is an adventure game for the Nintendo Switch. It is ranked #355 on the all-time Top Rated Switch games,  with a total of 8 reviews  and an average score of 8.45.",['No tags']
Adventure,6484,TOEM,"TOEM is an adventure game for the Nintendo Switch. It is ranked #355 on the all-time Top Rated Switch games,  with a total of 10 reviews  and an average score of 8.45.","['Adventure', 'Exploration', 'Photography', 'Fantastic', 'Feel Good', 'Monochrome', 'Casual']"
Adventure,8579,The Spirit and the Mouse,"The Spirit and the Mouse is an adventure game for the Nintendo Switch. It is ranked #363 on the all-time Top Rated Switch games,  with a total of 5 reviews  and an average score of 8.44.","['Adventure', 'Platformer', 'Fantastic', 'Cartoon / comics', 'Third Person', 'Family friendly']"
Adventure,4761,Röki,"Röki is an adventure game for the Nintendo Switch. It is ranked #389 on the all-time Top Rated Switch games,  with a total of 5 reviews  and an average score of 8.40.","['Adventure', 'Exploration', 'Puzzle', 'Nordic', 'Drawing / painting', 'Low-poly', 'Side Scroller']"
Adventure,7841,The Big Con - Grift of the Year Edition,"The Big Con - Grift of the Year Edition is an adventure game for the Nintendo Switch. It is ranked #412 on the all-time Top Rated Switch games,  with a total of 4 reviews  and an average score of 8.38.","['Adventure', 'Point-and-click', 'Cartoon / comics', 'Side Scroller', 'Top-Down']"
Adventure,9069,Lil Gator Game,"Lil Gator Game is an adventure game for the Nintendo Switch. It is ranked #428 on the all-time Top Rated Switch games,  with a total of 12 reviews  and an average score of 8.36.","['Adventure', 'Platformer', 'Fantasy', 'Feel Good', 'Cartoon / comics', 'Third Person', 'Casual', 'No fail state']"
Adventure,7323,What Lies in the Multiverse,"What Lies in the Multiverse is an adventure game for the Nintendo Switch. It is ranked #438 on the all-time Top Rated Switch games,  with a total of 6 reviews  and an average score of 8.35.","['Adventure', 'Interactive story', 'Puzzle platformer', 'Fantastic', 'Science Fiction', 'Pixel art', 'Side Scroller']"
Adventure,1219,The Walking Dead: The Final Season,"The Walking Dead: The Final Season is an adventure game for the Nintendo Switch. It is ranked #452 on the all-time Top Rated Switch games,  with a total of 3 reviews  and an average score of 8.33. It is part of The Walking Dead series.","['Adventure', 'Story choices', 'Text-heavy', 'Zombies']"
Adventure,5502,Signs of the Sojourner,"Signs of the Sojourner is an adventure game for the Nintendo Switch. It is ranked #505 on the all-time Top Rated Switch games,  with a total of 9 reviews  and an average score of 8.30.","['Adventure', 'Cards', 'Deck building', 'Story choices', 'Post-apocalyptic', 'Coming of age story', 'Travel story', 'Emotional', 'Drawing / painting', 'Turn-based']"
Adventure,3402,Aviary Attorney: Definitive Edition,"Aviary Attorney: Definitive Edition is an adventure game for the Nintendo Switch. It is ranked #544 on the all-time Top Rated Switch games,  with a total of 10 reviews  and an average score of 8.25.","['Adventure', 'Investigation', 'Puzzle', 'Visual novel', 'Text-heavy', 'Cats / dogs', 'Monochrome']"
