genre,id,name,sinopsis,tags,rawg_id,released,rating,ratings_count,background_image,is_nintendo_switch
Adventure,4423,A Short Hike,"A Short Hike is an adventure game for the Nintendo Switch. It is ranked #16 on the all-time Top Rated Switch games,  with a total of 16 reviews  and an average score of 9.34.","['Full controller support', 'Симулятор ходьбы', 'Feel Good', 'Приключение', 'Family story', 'Исследование', 'Relaxing', 'No fail state', 'Exploration', 'Pixel art', 'Милая', 'Singleplayer', 'Инди', 'Real-time', 'Adventure', 'Top-Down', 'Isometric', 'Speedrunner-friendly', 'Coming of age story', 'Open world', 'Расслабляющая', 'Collect-a-thon', 'Cats / dogs', '3D-платформер', 'Casual', 'Family friendly']",304247.0,2019-07-29,4.37,451.0,https://media.rawg.io/media/games/c38/c38deeb8f331a78c89e64ad71a1db361.jpg,True
Adventure,7399,13 Sentinels: Aegis Rim,"13 Sentinels: Aegis Rim is an adventure game for the Nintendo Switch. It is ranked #97 on the all-time Top Rated Switch games,  with a total of 12 reviews  and an average score of 8.92.","['Visual novel', 'Asia', 'Science Fiction', 'Adventure', 'Real-time', 'Tactical', 'Story choices', 'Anime', 'Mecha / robots', 'RPG', 'Side Scroller', 'Strategy']",408286.0,2019-11-28,4.29,125.0,https://media.rawg.io/media/games/be8/be8896348e804287dfd44323bac7380e.jpg,True
Adventure,2829,AI: The Somnium Files,"AI: The Somnium Files is an adventure game for the Nintendo Switch. It is ranked #116 on the all-time Top Rated Switch games,  with a total of 9 reviews  and an average score of 8.86.","['Violent', 'Насилие', 'Partial Controller Support', '3D', 'Detective', 'Приключение', 'Multiple Endings', 'Visual novel', 'Story Rich', 'Psychological', 'Gore', 'Horror', 'Sci-fi', 'Визуальная новелла', 'Singleplayer', 'Great Soundtrack', 'Steam Achievements', 'Science Fiction', 'Adventure', 'Comedy', 'Visual Novel', 'Anime', 'Choices Matter', 'Point-and-click', 'Investigation', 'Аниме', 'Mystery', 'Мясо', 'Story choices', 'Text-heavy', 'Emotional']",302836.0,2019-09-17,4.25,133.0,https://media.rawg.io/media/screenshots/e03/e035196b873383c7cb7d868f2a73a24c.jpg,True
Adventure,4422,Spiritfarer,"Spiritfarer is an adventure game for the Nintendo Switch. It is ranked #120 on the all-time Top Rated Switch games,  with a total of 13 reviews  and an average score of 8.85.","['Full controller support', 'Приключение', 'Simulation', 'Исследование', 'Steam Cloud', 'Exploration', 'Local Co-Op', 'Management', 'Симулятор', 'Singleplayer', 'Инди', 'Side Scroller', 'Платформер', 'Drawing / painting', 'Steam Achievements', 'Adventure', 'Platformer', 'Fantastic', 'Атмосфера', 'Локальный мультиплеер', 'Отличный саундтрек', 'Farming', 'Emotional', 'Женщина-протагонист', 'Casual']",326236.0,2020-08-18,4.12,366.0,https://media.rawg.io/media/games/727/727f889060e688bbdcba7b2a5d26a603.jpg,True
Adventure,7255,Welcome to Elk,"Welcome to Elk is an adventure game for the Nintendo Switch. It is ranked #161 on the all-time Top Rated Switch games,  with a total of 5 reviews  and an average score of 8.70.","['Interactive story', 'city', 'Drawing / painting', 'death', 'humour', 'Adventure', 'Trading', 'Story', 'Exploration', 'friends', 'Story choices', 'weird', 'Drama', 'character', 'island']",494495.0,2020-09-16,4.5,6.0,https://media.rawg.io/media/games/468/46847ca499987854fd3e26f80b386b8d.jpg,True
Adventure,77,Flipping Death,"Flipping Death is an adventure game for the Nintendo Switch. It is ranked #165 on the all-time Top Rated Switch games,  with a total of 10 reviews  and an average score of 8.69.","['steam-trading-cards', 'Full controller support', 'Steam Achievements', '2D', 'Adventure', 'Cartoon / comics', 'Steam Cloud', 'Головоломка', 'Головоломка-платформер', 'Puzzle platformer', 'Приключение', 'Fantastic', 'Singleplayer', 'Женщина-протагонист', 'Инди', 'Side Scroller']",27947.0,2018-08-06,3.83,18.0,https://media.rawg.io/media/screenshots/5b6/5b65d8df68e2cdc6d19950e192b6a5f8.jpg,True
Adventure,6264,Road 96,"Road 96 is an adventure game for the Nintendo Switch. It is ranked #171 on the all-time Top Rated Switch games,  with a total of 9 reviews  and an average score of 8.68.","['Full controller support', 'Нелинейная', 'Интерактивная литература', 'Narration', 'Приключение', 'Тайна', 'Цветастая', 'Динамические повествование', 'Multiple Endings', 'Political', 'Dystopian', 'Story Rich', 'Глубокий сюжет', 'Выбери себе приключение', 'Choose Your Own Adventure', 'Remote Play on Phone', 'Interactive Fiction', 'Steam Cloud', 'Roguelike', 'Exploration', 'Процедурная генерация', 'Повествовательная', 'Юмор', 'Singleplayer', 'Remote Play on TV', 'Interactive story', 'Steam Achievements', 'Comedy', 'Adventure', 'Colorful', 'Саундтрек', 'Remote Play on Tablet', 'Procedural Generation', 'Choices Matter', 'Atmospheric', 'Remote Play Together', 'Dynamic Narration', 'Атмосферная', 'First-Person', 'Несколько концовок', 'Mystery', 'Cartoon / comics', 'Soundtrack', 'Story choices', 'Эмоциональная', 'Emotional', 'Nonlinear', 'Антиутопия', 'Решения с последствиями', 'Политическая', 'Для одного игрока', 'Исследования']",530269.0,2021-08-16,3.95,243.0,https://media.rawg.io/media/games/61e/61ec0844a59c04cb0b2d2545e464e026.jpg,True
Adventure,544,Night in the Woods,"Night in the Woods is an adventure game for the Nintendo Switch. It is ranked #174 on the all-time Top Rated Switch games,  with a total of 9 reviews  and an average score of 8.67.","['Full controller support', 'Вид сбоку', 'Cute', 'Симулятор ходьбы', 'Приключение', 'Тайна', 'Исследование', 'Цветастая', 'Drama', 'Kickstarter', 'Story Rich', 'Глубокий сюжет', 'Смешная', 'Exploration', 'Horror', 'Милая', 'Singleplayer', 'Драма', 'Инди', 'Side Scroller', 'Great Soundtrack', 'cloud saves', 'Interactive story', 'Платформер', 'Drawing / painting', '2D', 'Adventure', 'Colorful', 'overlay', 'Atmospheric', 'Атмосфера', 'Coming of age story', 'Отличный саундтрек', 'Female Protagonist', 'Walking Simulator', 'Mystery', 'Cats / dogs', 'controller support', 'Text-heavy', 'Женщина-протагонист', 'Для одного игрока', 'Funny']",320.0,2017-02-21,4.25,663.0,https://media.rawg.io/media/games/b0a/b0a370527fea0e824225269d4a8797db.jpg,True
Adventure,9847,Oxenfree II: Lost Signals,"Oxenfree II: Lost Signals is an adventure game for the Nintendo Switch. It is ranked #174 on the all-time Top Rated Switch games,  with a total of 6 reviews  and an average score of 8.67.","['Supernatural', 'Чёрная комедия', 'Full controller support', 'Вид сбоку', 'Интерактивная литература', 'Симулятор ходьбы', 'Приключение', 'Тайна', 'Multiple Endings', 'Point & Click', 'Story Rich', 'Глубокий сюжет', 'Выбери себе приключение', 'Choose Your Own Adventure', 'Interactive Fiction', 'Steam Cloud', 'Протагонистка', 'Exploration', 'Повествование', 'Horror', 'Сверхъестественное', 'Визуальная новелла', 'Singleplayer', 'Side Scroller', 'Interactive story', 'Steam Achievements', 'Adventure', 'Visual Novel', 'Narrative', 'Choices Matter', 'Dark Comedy', 'Scary', 'Fantastic', 'Thriller', 'Female Protagonist', 'Walking Simulator', 'Несколько концовок', 'Триллер', 'Mystery', 'Решения с последствиями', 'Для одного игрока', 'Исследования']",586042.0,2023-07-12,3.9,47.0,https://media.rawg.io/media/games/55e/55e23d1452e7f7f0295c4fe2a4d298b5.jpg,True
Adventure,4703,Horace,"Horace is an adventure game for the Nintendo Switch. It is ranked #256 on the all-time Top Rated Switch games,  with a total of 9 reviews  and an average score of 8.56.","['Full controller support', 'Puzzle-Platformer', 'Приключение', 'Story Rich', 'Глубокий сюжет', 'Metroidvania', 'Steam Cloud', 'Pixel art', 'Головоломка-платформер', 'Singleplayer', 'Инди', 'Side Scroller', 'Платформер', 'Robots', 'Steam Achievements', '2D', 'Comedy', 'Adventure', 'Platformer', 'Narrative', 'Point-and-click', 'Pixel Graphics', 'Weird', 'Экшен', 'Пиксельная графика']",213624.0,2019-07-17,3.21,29.0,https://media.rawg.io/media/games/1bb/1bb3911534ae35629978664a1f32c219.jpg,True
